date,chesty cough,isPartial
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,100,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-12-27,0,False
2021-01-03,0,False
2021-01-10,0,False
2021-01-17,0,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,0,False
2021-02-21,0,False
2021-02-28,0,False
2021-03-07,0,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,0,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,0,False
2021-05-02,0,False
2021-05-09,0,False
2021-05-16,0,False
2021-05-23,0,False
2021-05-30,0,False
2021-06-06,0,False
2021-06-13,0,False
2021-06-20,0,False
2021-06-27,0,False
2021-07-04,0,False
2021-07-11,0,False
2021-07-18,100,False
2021-07-25,0,False
2021-08-01,0,False
2021-08-08,0,False
2021-08-15,0,False
2021-08-22,0,False
2021-08-29,0,False
2021-09-05,0,False
2021-09-12,0,False
2021-09-19,0,False
2021-09-26,0,False
2021-10-03,0,False
2021-10-10,0,False
2021-10-17,0,False
2021-10-24,0,False
2021-10-31,0,False
2021-11-07,0,False
2021-11-14,0,False
2021-11-21,0,False
2021-11-28,0,False
2021-12-05,0,False
2021-12-12,0,False
2021-12-19,0,False
2021-12-26,0,False
2022-01-02,0,False
2022-01-09,0,False
2022-01-16,0,False
2022-01-23,0,False
2022-01-30,0,False
2022-02-06,0,False
2022-02-13,0,False
2022-02-20,0,False
2022-02-27,0,False
2022-03-06,0,False
2022-03-13,0,False
2022-03-20,0,False
2022-03-27,0,False
2022-04-03,0,False
2022-04-10,0,False
2022-04-17,0,False
2022-04-24,88,False
2022-05-01,0,False
2022-05-08,0,False
2022-05-15,0,False
2022-05-22,0,False
2022-05-29,0,False
2022-06-05,0,False
2022-06-12,0,False
2022-06-19,0,False
2022-06-26,0,False
2022-07-03,0,False
2022-07-10,0,False
2022-07-17,0,False
2022-07-24,0,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,0,False
2022-08-21,0,False
2022-08-28,0,False
2022-09-04,0,False
2022-09-11,0,False
2022-09-18,0,False
2022-09-25,0,False
2022-10-02,0,False
2022-10-09,0,False
2022-10-16,0,False
2022-10-23,0,False
2022-10-30,0,False
2022-11-06,0,False
2022-11-13,0,False
2022-11-20,0,False
2022-11-27,100,False
2022-12-04,0,False
2022-12-11,0,False
2022-12-18,0,False
2022-12-25,0,False
2023-12-31,0,False
2024-01-07,0,False
2024-01-14,0,False
2024-01-21,0,False
2024-01-28,0,False
2024-02-04,0,False
2024-02-11,0,False
2024-02-18,0,False
2024-02-25,0,False
2024-03-03,0,False
2024-03-10,0,False
2024-03-17,0,False
2024-03-24,0,False
2024-03-31,0,False
2024-04-07,0,False
2024-04-14,0,False
2024-04-21,0,False
2024-04-28,0,False
2024-05-05,0,False
2024-05-12,0,False
2024-05-19,0,False
2024-05-26,0,False
2024-06-02,0,False
2024-06-09,0,False
2024-06-16,0,False
2024-06-23,0,False
2024-06-30,0,False
2024-07-07,0,False
2024-07-14,0,False
2024-07-21,0,False
2024-07-28,0,False
2024-08-04,0,False
2024-08-11,0,False
2024-08-18,0,False
2024-08-25,0,False
2024-09-01,0,False
2024-09-08,0,False
2024-09-15,0,False
2024-09-22,0,False
2024-09-29,0,False
2024-10-06,0,False
2024-10-13,100,False
2024-10-20,0,False
2024-10-27,0,False
2024-11-03,0,False
2024-11-10,0,False
2024-11-17,0,False
2024-11-24,0,False
2024-12-01,0,False
2024-12-08,0,False
2024-12-15,0,False
2024-12-22,0,False
2024-12-29,0,False
2025-01-05,0,False
2025-01-12,0,False
2025-01-19,0,False
2025-01-26,89,False
2025-02-02,0,False
2025-02-09,0,False
2025-02-16,0,False
2025-02-23,0,False
2025-03-02,0,False
2025-03-09,0,False
2025-03-16,0,False
2025-03-23,0,False
2025-03-30,0,False
2025-04-06,0,False
2025-04-13,0,False
2025-04-20,0,False
2025-04-27,0,False
2025-05-04,0,False
2025-05-11,0,False
2025-05-18,0,False
2025-05-25,100,False
2025-06-01,0,False
2025-06-08,0,False
2025-06-15,0,False
2025-06-22,0,False
2025-06-29,0,False
2025-07-06,0,False
2025-07-13,0,False
2025-07-20,0,False
2025-07-27,0,False
2025-08-03,0,False
2025-08-10,0,False
2025-08-17,0,False
2025-08-24,0,False
2025-08-31,0,False
2025-09-07,0,False
2025-09-14,0,False
2025-09-21,0,False
2025-09-28,0,False
2025-10-05,0,False
2025-10-12,0,False
2025-10-19,0,False
2025-10-26,0,False
2025-11-02,0,False
2025-11-09,0,False
2025-11-16,0,False
2025-11-23,0,False
2025-11-30,0,False
2025-12-07,0,False
2025-12-14,0,False
2025-12-21,0,False
2025-12-28,0,False
