date,coughing up phlegm,isPartial
2017-12-31,48,False
2018-01-07,40,False
2018-01-14,41,False
2018-01-21,0,False
2018-01-28,39,False
2018-02-04,62,False
2018-02-11,36,False
2018-02-18,36,False
2018-02-25,42,False
2018-03-04,32,False
2018-03-11,53,False
2018-03-18,33,False
2018-03-25,0,False
2018-04-01,43,False
2018-04-08,33,False
2018-04-15,41,False
2018-04-22,45,False
2018-04-29,39,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,44,False
2018-05-27,43,False
2018-06-03,37,False
2018-06-10,38,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,35,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,34,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,38,False
2018-09-30,54,False
2018-10-07,47,False
2018-10-14,70,False
2018-10-21,0,False
2018-10-28,50,False
2018-11-04,0,False
2018-11-11,59,False
2018-11-18,0,False
2018-11-25,52,False
2018-12-02,38,False
2018-12-09,53,False
2018-12-16,38,False
2018-12-23,55,False
2018-12-30,100,False
2019-01-06,42,False
2019-01-13,37,False
2019-01-20,35,False
2019-01-27,0,False
2019-02-03,37,False
2019-02-10,36,False
2019-02-17,50,False
2019-02-24,0,False
2019-03-03,31,False
2019-03-10,48,False
2019-03-17,49,False
2019-03-24,42,False
2019-03-31,38,False
2019-04-07,34,False
2019-04-14,37,False
2019-04-21,43,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,41,False
2019-05-26,32,False
2019-06-02,0,False
2019-06-09,30,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,33,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,45,False
2019-07-28,37,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,31,False
2019-09-22,0,False
2019-09-29,36,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,25,False
2019-10-27,36,False
2019-11-03,0,False
2019-11-10,26,False
2019-11-17,36,False
2019-11-24,50,False
2019-12-01,0,False
2019-12-08,51,False
2019-12-15,35,False
2019-12-22,39,False
2019-12-29,70,False
2020-01-05,92,False
2020-01-12,45,False
2020-01-19,45,False
2020-01-26,70,False
2020-02-02,56,False
2020-02-09,58,False
2020-02-16,74,False
2020-02-23,60,False
2020-03-01,70,False
2020-03-08,71,False
2020-03-15,96,False
2020-03-22,74,False
2020-03-29,94,False
2020-04-05,68,False
2020-04-12,51,False
2020-04-19,51,False
2020-04-26,0,False
2020-05-03,40,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,0,False
2020-06-21,0,False
2020-06-28,0,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,41,False
2020-07-26,43,False
2020-08-02,0,False
2020-08-09,0,False
2020-08-16,44,False
2020-08-23,0,False
2020-08-30,0,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,0,False
2020-09-27,0,False
2020-10-04,0,False
2020-10-11,0,False
2020-10-18,0,False
2020-10-25,0,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,56,False
2020-11-29,50,False
2020-12-06,0,False
2020-12-13,0,False
2020-12-20,0,False
2020-12-27,0,False
2021-01-03,100,False
2021-01-10,0,False
2021-01-17,49,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,0,False
2021-02-21,0,False
2021-02-28,0,False
2021-03-07,0,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,0,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,0,False
2021-05-02,0,False
2021-05-09,0,False
2021-05-16,45,False
2021-05-23,0,False
2021-05-30,0,False
2021-06-06,0,False
2021-06-13,47,False
2021-06-20,0,False
2021-06-27,59,False
2021-07-04,0,False
2021-07-11,0,False
2021-07-18,66,False
2021-07-25,0,False
2021-08-01,45,False
2021-08-08,49,False
2021-08-15,0,False
2021-08-22,47,False
2021-08-29,0,False
2021-09-05,0,False
2021-09-12,0,False
2021-09-19,0,False
2021-09-26,55,False
2021-10-03,0,False
2021-10-10,0,False
2021-10-17,59,False
2021-10-24,0,False
2021-10-31,55,False
2021-11-07,48,False
2021-11-14,53,False
2021-11-21,46,False
2021-11-28,78,False
2021-12-05,0,False
2021-12-12,62,False
2021-12-19,69,False
2021-12-26,64,False
2022-01-02,71,False
2022-01-09,60,False
2022-01-16,0,False
2022-01-23,0,False
2022-01-30,39,False
2022-02-06,0,False
2022-02-13,0,False
2022-02-20,0,False
2022-02-27,40,False
2022-03-06,33,False
2022-03-13,0,False
2022-03-20,35,False
2022-03-27,33,False
2022-04-03,28,False
2022-04-10,0,False
2022-04-17,57,False
2022-04-24,58,False
2022-05-01,41,False
2022-05-08,0,False
2022-05-15,44,False
2022-05-22,44,False
2022-05-29,51,False
2022-06-05,47,False
2022-06-12,64,False
2022-06-19,59,False
2022-06-26,34,False
2022-07-03,40,False
2022-07-10,37,False
2022-07-17,0,False
2022-07-24,43,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,0,False
2022-08-21,48,False
2022-08-28,0,False
2022-09-04,0,False
2022-09-11,0,False
2022-09-18,31,False
2022-09-25,0,False
2022-10-02,50,False
2022-10-09,35,False
2022-10-16,64,False
2022-10-23,63,False
2022-10-30,50,False
2022-11-06,60,False
2022-11-13,56,False
2022-11-20,80,False
2022-11-27,43,False
2022-12-04,70,False
2022-12-11,67,False
2022-12-18,57,False
2022-12-25,100,False
2023-01-01,67,False
2023-01-08,56,False
2023-01-15,46,False
2023-01-22,48,False
2023-01-29,37,False
2023-02-05,46,False
2023-02-12,46,False
2023-02-19,40,False
2023-02-26,0,False
2023-03-05,42,False
2023-03-12,49,False
2023-03-19,66,False
2023-03-26,32,False
2023-04-02,0,False
2023-04-09,44,False
2023-04-16,0,False
2023-04-23,44,False
2023-04-30,0,False
2023-05-07,33,False
2023-05-14,0,False
2023-05-21,0,False
2023-05-28,44,False
2023-06-04,35,False
2023-06-11,45,False
2023-06-18,60,False
2023-06-25,29,False
2023-07-02,42,False
2023-07-09,32,False
2023-07-16,34,False
2023-07-23,35,False
2023-07-30,0,False
2023-08-06,0,False
2023-08-13,0,False
2023-08-20,0,False
2023-08-27,0,False
2023-09-03,35,False
2023-09-10,50,False
2023-09-17,0,False
2023-09-24,57,False
2023-10-01,44,False
2023-10-08,56,False
2023-10-15,35,False
2023-10-22,54,False
2023-10-29,59,False
2023-11-05,52,False
2023-11-12,45,False
2023-11-19,61,False
2023-11-26,62,False
2023-12-03,58,False
2023-12-10,66,False
2023-12-17,93,False
2023-12-24,100,False
2023-12-31,93,False
2024-01-07,34,False
2024-01-14,40,False
2024-01-21,33,False
2024-01-28,41,False
2024-02-04,54,False
2024-02-11,60,False
2024-02-18,100,False
2024-02-25,41,False
2024-03-03,48,False
2024-03-10,59,False
2024-03-17,48,False
2024-03-24,0,False
2024-03-31,0,False
2024-04-07,36,False
2024-04-14,51,False
2024-04-21,43,False
2024-04-28,0,False
2024-05-05,52,False
2024-05-12,45,False
2024-05-19,0,False
2024-05-26,0,False
2024-06-02,50,False
2024-06-09,0,False
2024-06-16,55,False
2024-06-23,41,False
2024-06-30,38,False
2024-07-07,43,False
2024-07-14,0,False
2024-07-21,67,False
2024-07-28,0,False
2024-08-04,40,False
2024-08-11,0,False
2024-08-18,0,False
2024-08-25,0,False
2024-09-01,45,False
2024-09-08,41,False
2024-09-15,0,False
2024-09-22,0,False
2024-09-29,57,False
2024-10-06,76,False
2024-10-13,0,False
2024-10-20,35,False
2024-10-27,84,False
2024-11-03,34,False
2024-11-10,61,False
2024-11-17,34,False
2024-11-24,56,False
2024-12-01,42,False
2024-12-08,53,False
2024-12-15,81,False
2024-12-22,73,False
2024-12-29,91,False
2025-01-05,84,False
2025-01-12,94,False
2025-01-19,55,False
2025-01-26,77,False
2025-02-02,37,False
2025-02-09,60,False
2025-02-16,60,False
2025-02-23,50,False
2025-03-02,0,False
2025-03-09,0,False
2025-03-16,52,False
2025-03-23,52,False
2025-03-30,0,False
2025-04-06,35,False
2025-04-13,0,False
2025-04-20,40,False
2025-04-27,36,False
2025-05-04,0,False
2025-05-11,0,False
2025-05-18,44,False
2025-05-25,51,False
2025-06-01,0,False
2025-06-08,62,False
2025-06-15,0,False
2025-06-22,0,False
2025-06-29,0,False
2025-07-06,39,False
2025-07-13,0,False
2025-07-20,0,False
2025-07-27,0,False
2025-08-03,0,False
2025-08-10,0,False
2025-08-17,40,False
2025-08-24,0,False
2025-08-31,0,False
2025-09-07,39,False
2025-09-14,0,False
2025-09-21,0,False
2025-09-28,49,False
2025-10-05,50,False
2025-10-12,0,False
2025-10-19,46,False
2025-10-26,0,False
2025-11-02,0,False
2025-11-09,68,False
2025-11-16,59,False
2025-11-23,46,False
2025-11-30,48,False
2025-12-07,66,False
2025-12-14,100,False
2025-12-21,72,False
2025-12-28,89,False
