PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
States,New York,2022,30,X,1.4774,X,X,X,X,X,X,750,116,50765
States,New York,2022,31,X,1.4802,X,X,X,X,X,X,811,116,54790
States,New York,2022,32,X,1.59385,X,X,X,X,X,X,827,116,51887
States,New York,2022,33,X,1.25233,X,X,X,X,X,X,637,116,50865
States,New York,2022,34,X,1.46255,X,X,X,X,X,X,562,117,38426
States,New York,2022,35,X,1.0171,X,X,X,X,X,X,505,118,49651
States,New York,2022,36,X,1.21673,X,X,X,X,X,X,623,118,51203
States,New York,2022,37,X,1.71699,X,X,X,X,X,X,982,117,57193
States,New York,2022,38,X,1.87767,X,X,X,X,X,X,1091,117,58104
States,New York,2022,39,X,1.82684,X,X,X,X,X,X,1005,118,55013
States,New York,2022,40,X,2.35321,X,X,X,X,X,X,933,122,39648
States,New York,2022,41,X,4.36652,X,X,X,X,X,X,518,121,11863
States,New York,2022,42,X,2.62504,X,X,X,X,X,X,1098,124,41828
States,New York,2022,43,X,2.75031,X,X,X,X,X,X,1936,124,70392
States,New York,2022,44,X,3.88556,X,X,X,X,X,X,2499,124,64315
States,New York,2022,45,X,4.21725,X,X,X,X,X,X,2765,124,65564
States,New York,2022,46,X,4.53211,X,X,X,X,X,X,2778,123,61296
States,New York,2022,47,X,5.84341,X,X,X,X,X,X,3513,124,60119
States,New York,2022,48,X,6.83606,X,X,X,X,X,X,4606,124,67378
States,New York,2022,49,X,8.18203,X,X,X,X,X,X,4894,124,59814
States,New York,2022,50,X,5.15234,X,X,X,X,X,X,2540,123,49298
States,New York,2022,51,X,6.92419,X,X,X,X,X,X,3956,120,57133
States,New York,2022,52,X,5.40239,X,X,X,X,X,X,3151,123,58326
States,New York,2023,1,X,3.50057,X,X,X,X,X,X,2075,123,59276
States,New York,2023,2,X,2.63004,X,X,X,X,X,X,1438,123,54676
States,New York,2023,3,X,2.38797,X,X,X,X,X,X,1256,123,52597
States,New York,2023,4,X,2.34254,X,X,X,X,X,X,1282,123,54727
States,New York,2023,5,X,2.47437,X,X,X,X,X,X,1318,121,53266
States,New York,2023,6,X,2.34875,X,X,X,X,X,X,1233,122,52496
States,New York,2023,7,X,2.43275,X,X,X,X,X,X,1371,120,56356
States,New York,2023,8,X,2.30016,X,X,X,X,X,X,1275,120,55431
States,New York,2023,9,X,2.15804,X,X,X,X,X,X,1182,121,54772
States,New York,2023,10,X,2.20548,X,X,X,X,X,X,1244,120,56405
States,New York,2023,11,X,2.33188,X,X,X,X,X,X,1291,122,55363
States,New York,2023,12,X,2.18914,X,X,X,X,X,X,1281,121,58516
States,New York,2023,13,X,2.16315,X,X,X,X,X,X,1249,121,57740
States,New York,2023,14,X,1.93375,X,X,X,X,X,X,1056,121,54609
States,New York,2023,15,X,1.7257,X,X,X,X,X,X,917,122,53138
States,New York,2023,16,X,1.52737,X,X,X,X,X,X,892,120,58401
States,New York,2023,17,X,1.58483,X,X,X,X,X,X,907,122,57230
States,New York,2023,18,X,1.1209,X,X,X,X,X,X,579,97,51655
States,New York,2023,19,X,1.39906,X,X,X,X,X,X,967,121,69118
States,New York,2023,20,X,1.71774,X,X,X,X,X,X,1018,120,59264
States,New York,2023,21,X,1.65233,X,X,X,X,X,X,964,118,58342
States,New York,2023,22,X,1.31054,X,X,X,X,X,X,762,118,58144
States,New York,2023,23,X,1.41963,X,X,X,X,X,X,823,118,57973
States,New York,2023,24,X,1.34858,X,X,X,X,X,X,797,116,59099
States,New York,2023,25,X,1.29315,X,X,X,X,X,X,741,117,57302
States,New York,2023,26,X,1.08874,X,X,X,X,X,X,623,118,57222
States,New York,2023,27,X,0.865914,X,X,X,X,X,X,497,118,57396
States,New York,2023,28,X,0.981587,X,X,X,X,X,X,572,118,58273
States,New York,2023,29,X,1.02805,X,X,X,X,X,X,603,118,58655
States,New York,2023,30,X,1.03609,X,X,X,X,X,X,606,118,58489
States,New York,2023,31,X,0.978985,X,X,X,X,X,X,573,118,58530
States,New York,2023,32,X,1.00123,X,X,X,X,X,X,603,118,60226
States,New York,2023,33,X,1.02769,X,X,X,X,X,X,611,117,59454
States,New York,2023,34,X,1.02127,X,X,X,X,X,X,608,116,59534
States,New York,2023,35,X,1.01122,X,X,X,X,X,X,594,118,58741
States,New York,2023,36,X,1.04924,X,X,X,X,X,X,602,118,57375
States,New York,2023,37,X,1.28467,X,X,X,X,X,X,756,118,58848
States,New York,2023,38,X,1.59934,X,X,X,X,X,X,955,118,59712
States,New York,2023,39,X,1.57348,X,X,X,X,X,X,936,118,59486
States,New York,2023,40,X,1.61296,X,X,X,X,X,X,993,121,61564
States,New York,2023,41,X,1.53101,X,X,X,X,X,X,907,124,59242
States,New York,2023,42,X,1.57285,X,X,X,X,X,X,909,122,57793
States,New York,2023,43,X,1.69252,X,X,X,X,X,X,984,123,58138
States,New York,2023,44,X,1.70797,X,X,X,X,X,X,978,123,57261
States,New York,2023,45,X,1.96752,X,X,X,X,X,X,1146,123,58246
States,New York,2023,46,X,2.21594,X,X,X,X,X,X,1301,122,58711
States,New York,2023,47,X,2.36463,X,X,X,X,X,X,1307,123,55273
States,New York,2023,48,X,2.51013,X,X,X,X,X,X,1462,123,58244
States,New York,2023,49,X,2.4827,X,X,X,X,X,X,1331,98,53611
States,New York,2023,50,X,3.0827,X,X,X,X,X,X,1674,99,54303
States,New York,2023,51,X,3.5352,X,X,X,X,X,X,1910,99,54028
States,New York,2023,52,X,4.23452,X,X,X,X,X,X,2226,99,52568
States,New York,2024,1,X,3.52257,X,X,X,X,X,X,1957,99,55556
States,New York,2024,2,X,2.54504,X,X,X,X,X,X,1308,98,51394
States,New York,2024,3,X,2.24634,X,X,X,X,X,X,1072,98,47722
States,New York,2024,4,X,1.68956,X,X,X,X,X,X,1129,99,66822
States,New York,2024,5,X,2.40958,X,X,X,X,X,X,1050,99,43576
States,New York,2024,6,X,2.26655,X,X,X,X,X,X,1193,98,52635
States,New York,2024,7,X,2.34278,X,X,X,X,X,X,1191,99,50837
States,New York,2024,8,X,2.47413,X,X,X,X,X,X,1277,99,51614
States,New York,2024,9,X,2.23167,X,X,X,X,X,X,1160,100,51979
States,New York,2024,10,X,2.00618,X,X,X,X,X,X,1052,99,52438
States,New York,2024,11,X,1.84321,X,X,X,X,X,X,972,99,52734
States,New York,2024,12,X,1.78908,X,X,X,X,X,X,910,98,50864
States,New York,2024,13,X,1.83268,X,X,X,X,X,X,931,98,50800
States,New York,2024,14,X,1.65707,X,X,X,X,X,X,835,96,50390
States,New York,2024,15,X,1.46932,X,X,X,X,X,X,783,98,53290
States,New York,2024,16,X,1.30025,X,X,X,X,X,X,688,96,52913
States,New York,2024,17,X,1.2529,X,X,X,X,X,X,642,96,51241
States,New York,2024,18,X,1.07441,X,X,X,X,X,X,565,94,52587
States,New York,2024,19,X,1.02848,X,X,X,X,X,X,546,96,53088
States,New York,2024,20,X,0.9333,X,X,X,X,X,X,491,92,52609
States,New York,2024,21,X,0.866207,X,X,X,X,X,X,462,94,53336
States,New York,2024,22,X,0.845001,X,X,X,X,X,X,443,94,52426
States,New York,2024,23,X,0.790066,X,X,X,X,X,X,418,93,52907
States,New York,2024,24,X,0.729241,X,X,X,X,X,X,380,93,52109
States,New York,2024,25,X,0.812978,X,X,X,X,X,X,436,93,53630
States,New York,2024,26,X,0.751413,X,X,X,X,X,X,363,92,48309
States,New York,2024,27,X,0.67063,X,X,X,X,X,X,317,92,47269
States,New York,2024,28,X,1.48907,X,X,X,X,X,X,802,116,53859
States,New York,2024,29,X,1.28793,X,X,X,X,X,X,747,115,58000
States,New York,2024,30,X,1.41076,X,X,X,X,X,X,827,115,58621
States,New York,2024,31,X,1.46741,X,X,X,X,X,X,855,116,58266
States,New York,2024,32,X,1.44121,X,X,X,X,X,X,847,116,58770
States,New York,2024,33,X,1.52654,X,X,X,X,X,X,912,116,59743
States,New York,2024,34,X,1.3902,X,X,X,X,X,X,794,116,57114
States,New York,2024,35,X,1.41007,X,X,X,X,X,X,835,116,59217
States,New York,2024,36,X,1.47033,X,X,X,X,X,X,828,115,56314
States,New York,2024,37,X,1.90983,X,X,X,X,X,X,1123,115,58801
States,New York,2024,38,X,2.18268,X,X,X,X,X,X,1358,115,62217
States,New York,2024,39,X,2.0654,X,X,X,X,X,X,1207,115,58439
States,New York,2024,40,X,1.85201,X,X,X,X,X,X,1772,160,95680
States,New York,2024,41,X,2.02301,X,X,X,X,X,X,1936,162,95699
States,New York,2024,42,X,2.09214,X,X,X,X,X,X,1965,161,93923
States,New York,2024,43,X,2.15664,X,X,X,X,X,X,2104,161,97559
States,New York,2024,44,X,2.05957,X,X,X,X,X,X,1914,161,92932
States,New York,2024,45,X,2.23525,X,X,X,X,X,X,2052,161,91802
States,New York,2024,46,X,2.26351,X,X,X,X,X,X,2082,161,91981
States,New York,2024,47,X,2.38223,X,X,X,X,X,X,2173,160,91217
States,New York,2024,48,X,2.40513,X,X,X,X,X,X,2018,160,83904
States,New York,2024,49,X,2.67706,X,X,X,X,X,X,2381,160,88941
States,New York,2024,50,X,2.99594,X,X,X,X,X,X,2832,160,94528
States,New York,2024,51,X,3.69902,X,X,X,X,X,X,3543,159,95782
States,New York,2024,52,X,4.26019,X,X,X,X,X,X,4020,158,94362
States,New York,2025,1,X,4.32401,X,X,X,X,X,X,4334,159,100231
States,New York,2025,2,X,4.32212,X,X,X,X,X,X,4131,159,95578
States,New York,2025,3,X,5.67942,X,X,X,X,X,X,5533,159,97422
States,New York,2025,4,X,6.07612,X,X,X,X,X,X,5733,159,94353
States,New York,2025,5,X,6.19663,X,X,X,X,X,X,6030,161,97311
States,New York,2025,6,X,6.09533,X,X,X,X,X,X,5931,160,97304
States,New York,2025,7,X,10.0268,X,X,X,X,X,X,9732,160,97060
States,New York,2025,8,X,7.97361,X,X,X,X,X,X,7202,159,90323
States,New York,2025,9,X,6.12053,X,X,X,X,X,X,5853,158,95629
States,New York,2025,10,X,5.65947,X,X,X,X,X,X,5295,158,93560
States,New York,2025,11,X,5.24737,X,X,X,X,X,X,4934,157,94028
States,New York,2025,12,X,4.77876,X,X,X,X,X,X,4549,158,95192
States,New York,2025,13,X,4.05267,X,X,X,X,X,X,3730,158,92038
States,New York,2025,14,X,3.75492,X,X,X,X,X,X,3413,156,90894
States,New York,2025,15,X,3.57188,X,X,X,X,X,X,3138,157,87853
States,New York,2025,16,X,2.85171,X,X,X,X,X,X,2581,156,90507
States,New York,2025,17,X,2.25418,X,X,X,X,X,X,2127,157,94358
States,New York,2025,18,X,1.93354,X,X,X,X,X,X,1823,158,94283
States,New York,2025,19,X,1.63255,X,X,X,X,X,X,1541,157,94392
States,New York,2025,20,X,1.7044,X,X,X,X,X,X,1624,156,95283
States,New York,2025,21,X,1.61235,X,X,X,X,X,X,1503,156,93218
States,New York,2025,22,X,1.47433,X,X,X,X,X,X,1379,156,93534
States,New York,2025,23,X,1.33061,X,X,X,X,X,X,1282,156,96347
States,New York,2025,24,X,1.20607,X,X,X,X,X,X,1164,156,96512
States,New York,2025,25,X,1.15729,X,X,X,X,X,X,1123,156,97037
States,New York,2025,26,X,1.06508,X,X,X,X,X,X,1054,155,98960
States,New York,2025,27,X,0.941791,X,X,X,X,X,X,913,154,96943
States,New York,2025,28,X,0.971987,X,X,X,X,X,X,983,154,101133
States,New York,2025,29,X,0.907284,X,X,X,X,X,X,904,154,99638
States,New York,2025,30,X,0.876346,X,X,X,X,X,X,862,155,98363
States,New York,2025,31,X,0.848789,X,X,X,X,X,X,821,155,96726
States,New York,2025,32,X,0.846372,X,X,X,X,X,X,826,155,97593
States,New York,2025,33,X,0.749216,X,X,X,X,X,X,738,155,98503
States,New York,2025,34,X,0.865477,X,X,X,X,X,X,834,155,96363
States,New York,2025,35,X,0.785422,X,X,X,X,X,X,753,155,95872
States,New York,2025,36,X,0.916158,X,X,X,X,X,X,858,154,93652
States,New York,2025,37,X,1.13506,X,X,X,X,X,X,1105,154,97352
States,New York,2025,38,X,1.27416,X,X,X,X,X,X,1265,154,99281
States,New York,2025,39,X,1.35015,X,X,X,X,X,X,1354,153,100285
States,New York,2025,40,X,1.20488,X,X,X,X,X,X,1431,237,118767
States,New York,2025,41,X,1.24439,X,X,X,X,X,X,1424,229,114434
States,New York,2025,42,X,1.27237,X,X,X,X,X,X,1451,238,114039
States,New York,2025,43,X,1.31291,X,X,X,X,X,X,1523,238,116002
States,New York,2025,44,X,1.62799,X,X,X,X,X,X,1690,237,103809
States,New York,2025,45,X,1.96803,X,X,X,X,X,X,2153,237,109399
States,New York,2025,46,X,2.20097,X,X,X,X,X,X,2442,238,110951
States,New York,2025,47,X,3.1196,X,X,X,X,X,X,3501,238,112226
States,New York,2025,48,X,4.94073,X,X,X,X,X,X,5235,226,105956
States,New York,2025,49,X,5.74741,X,X,X,X,X,X,6639,229,115513
States,New York,2025,50,X,9.26987,X,X,X,X,X,X,11273,228,121609
States,New York,2025,51,X,13.4543,X,X,X,X,X,X,17265,227,128323
States,New York,2025,52,X,14.42,X,X,X,X,X,X,16240,226,112621
States,New York,2025,53,X,10.8838,X,X,X,X,X,X,12564,226,115438
States,New York,2026,1,X,6.53811,X,X,X,X,X,X,7764,226,118750
States,New York,2026,2,X,4.56637,X,X,X,X,X,X,5001,226,109518
States,New York,2026,3,X,3.63669,X,X,X,X,X,X,3702,226,101796
States,New York,2026,4,X,2.92861,X,X,X,X,X,X,2721,227,92911
States,New York,2026,5,X,2.81942,X,X,X,X,X,X,2994,227,106192
States,New York,2026,6,X,3.05652,X,X,X,X,X,X,3303,227,108064
States,New York,2026,7,X,3.28426,X,X,X,X,X,X,3505,227,106721
States,New York,2026,8,X,2.78993,X,X,X,X,X,X,2864,227,102655
States,New York,2026,9,X,2.80634,X,X,X,X,X,X,3054,227,108825
States,New York,2026,10,X,3.13911,X,X,X,X,X,X,3505,226,111656
States,New York,2026,11,X,3.24556,X,X,X,X,X,X,3647,226,112369
States,New York,2026,12,X,3.39543,X,X,X,X,X,X,3908,227,115096
States,New York,2026,13,X,3.1686,X,X,X,X,X,X,3536,226,111595
States,New York,2026,14,X,2.4201,X,X,X,X,X,X,2610,225,107847
States,New York,2026,15,X,1.8069,X,X,X,X,X,X,2087,225,115502
States,New York,2026,16,X,1.49987,X,X,X,X,X,X,1657,225,110476
States,New York,2026,17,X,1.36546,X,X,X,X,X,X,1437,189,105239
States,New York,2026,18,X,1.57791,X,X,X,X,X,X,1819,225,115279
States,New York,2026,19,X,1.37911,X,X,X,X,X,X,1599,224,115944
States,New York,2026,20,X,1.21201,X,X,X,X,X,X,1447,225,119388
States,New York,2026,21,X,1.09783,X,X,X,X,X,X,1247,225,113588
States,New York,2026,22,X,1.07109,X,X,X,X,X,X,1137,198,106154
States,New York,2026,23,X,0.953332,X,X,X,X,X,X,1021,192,107098
States,New York,2026,24,X,0.886119,X,X,X,X,X,X,944,193,106532
