target_id,horizon,status,classifier,severity_model,n_train,n_test,n_features,train_start,train_end,test_start,test_end,train_spike_rate,test_spike_rate,severity_mae,severity_interval_coverage,severity_interval_width,spike_threshold,severity_scale,brier,precision,recall,f1,average_precision,roc_auc
ukhsa_gp_admissions::ukhsa-chart-Influenza-Hospital-Admissions-By-Week,1,ok,mlp_classifier,bootstrap_mlp_regressor_25,382,96,56,1969-12-29,2024-06-17,2024-07-01,2026-04-27,0.1518324607329843,0.3645833333333333,1.1452488147014799,0.7708333333333334,1.8528913720341131,2.0833333333333335,0.8333333333333335,0.1355011828702416,0.875,0.6,0.711864406779661,0.8384123217885565,0.8679156908665105
ukhsa_gp_admissions::ukhsa-chart-Influenza-Hospital-Admissions-By-Week,2,ok,mlp_classifier,bootstrap_mlp_regressor_25,381,96,56,1969-12-29,2024-06-10,2024-07-01,2026-04-27,0.16272965879265092,0.3854166666666667,1.268413987858237,0.8125,2.0401899494403843,2.1158333333333283,0.8341666666666668,0.2004373390523436,1.0,0.35135135135135137,0.52,0.8034992744848578,0.8121850664223546
ukhsa_gp_admissions::ukhsa-chart-Influenza-Hospital-Admissions-By-Week,3,ok,mlp_classifier,bootstrap_mlp_regressor_25,380,96,56,1969-12-29,2024-06-03,2024-07-01,2026-04-27,0.1763157894736842,0.40625,1.4593636353711747,0.8125,2.4691293906666725,2.1483333333333356,0.8350000000000001,0.23726785313512214,0.6521739130434783,0.38461538461538464,0.4838709677419355,0.710012104588567,0.7624831309041836
ukhsa_gp_admissions::ukhsa-chart-Influenza-Hospital-Admissions-By-Week,4,ok,mlp_classifier,bootstrap_mlp_regressor_25,379,96,56,1969-12-29,2024-05-27,2024-07-01,2026-04-27,0.18997361477572558,0.4270833333333333,1.6907875831022805,0.75,2.8799923642333636,2.180833333333331,0.8358333333333333,0.20235554976376055,0.8,0.3902439024390244,0.5245901639344263,0.8153338728554725,0.846119733924612
ukhsa_gp_admissions::ukhsa-chart-Influenza-Like-Syndromic-Emergency-Department-Admissions-Daily,1,ok,mlp_classifier,bootstrap_mlp_regressor_25,42,11,252,2025-06-09,2026-03-23,2026-04-06,2026-06-15,0.16666666666666666,0.0,0.627508331879376,1.0,1.8357888488716205,180.93968253968254,98.46634920634922,0.02059049810052973,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Influenza-Like-Syndromic-Emergency-Department-Admissions-Daily,2,ok,mlp_classifier,bootstrap_mlp_regressor_25,41,11,252,2025-06-02,2026-03-09,2026-03-30,2026-06-08,0.17073170731707318,0.0,0.2887173708332794,1.0,0.9649638729649541,192.05258730158718,106.1776984126984,0.11896074129607381,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Influenza-Like-Syndromic-Emergency-Department-Admissions-Daily,3,ok,mlp_classifier,bootstrap_mlp_regressor_25,40,11,252,2025-05-26,2026-02-23,2026-03-23,2026-06-01,0.2,0.0,0.786164626348241,1.0,2.2297008853893945,203.16549206349197,113.8890476190476,0.10022205819266015,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Influenza-Like-Syndromic-Emergency-Department-Admissions-Daily,4,ok,mlp_classifier,bootstrap_mlp_regressor_25,39,11,252,2025-05-19,2026-02-09,2026-03-16,2026-05-25,0.23076923076923078,0.0,0.5674836714338222,1.0,1.768799503906232,214.27839682539675,118.67206349206347,0.0030540779588967364,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Lower-Respiratory-Tract-Infection-GP-Hours-Daily,1,ok,mlp_classifier,bootstrap_mlp_regressor_25,42,11,252,2025-06-09,2026-03-23,2026-04-06,2026-06-15,0.16666666666666666,0.0,0.6240760710984662,1.0,1.8168680450688683,15.196349206349204,7.297619047619045,0.02194266739471399,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Lower-Respiratory-Tract-Infection-GP-Hours-Daily,2,ok,mlp_classifier,bootstrap_mlp_regressor_25,41,11,252,2025-06-02,2026-03-09,2026-03-30,2026-06-08,0.17073170731707318,0.0,0.2881013946504955,1.0,0.9663707541879724,15.445539682539678,7.351031746031745,0.08907428411256264,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Lower-Respiratory-Tract-Infection-GP-Hours-Daily,3,ok,mlp_classifier,bootstrap_mlp_regressor_25,40,11,252,2025-05-26,2026-02-23,2026-03-23,2026-06-01,0.2,0.0,0.582629893406349,1.0,1.7009496376928914,15.694730158730158,7.404444444444445,0.11143113419017005,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Lower-Respiratory-Tract-Infection-GP-Hours-Daily,4,ok,mlp_classifier,bootstrap_mlp_regressor_25,39,11,252,2025-05-19,2026-02-09,2026-03-16,2026-05-25,0.23076923076923078,0.0,0.46551422335774184,1.0,1.5072856338071021,15.943920634920635,7.868015873015873,0.036585545409569105,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Upper-Respiratory-Tract-Infection-GP-Hours-Daily,1,ok,mlp_classifier,bootstrap_mlp_regressor_25,42,11,252,2025-06-09,2026-03-23,2026-04-06,2026-06-15,0.16666666666666666,0.0,0.5910445582489081,1.0,1.7121675409704926,30.002380952380957,17.357857142857142,0.029065881984343647,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Upper-Respiratory-Tract-Infection-GP-Hours-Daily,2,ok,mlp_classifier,bootstrap_mlp_regressor_25,41,11,252,2025-06-02,2026-03-09,2026-03-30,2026-06-08,0.1951219512195122,0.0,0.3274507414931939,1.0,1.093624912567735,30.092809523809525,17.851309523809523,0.11350245749704174,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Upper-Respiratory-Tract-Infection-GP-Hours-Daily,3,ok,mlp_classifier,bootstrap_mlp_regressor_25,40,11,252,2025-05-26,2026-02-23,2026-03-23,2026-06-01,0.25,0.0,0.7335066486197985,1.0,2.013900576442517,30.183238095238096,18.344761904761903,0.20241742552505784,0.0,0.0,0.0,,
ukhsa_gp_admissions::ukhsa-chart-Upper-Respiratory-Tract-Infection-GP-Hours-Daily,4,ok,mlp_classifier,bootstrap_mlp_regressor_25,39,11,252,2025-05-19,2026-02-09,2026-03-16,2026-05-25,0.3076923076923077,0.0,0.4998911650333015,1.0,1.683694201843754,30.273666666666667,18.128611111111113,0.1735826636957523,0.0,0.0,0.0,,
