"Time","chest infection"
"2021-07-01",18
"2021-08-01",21
"2021-09-01",37
"2021-10-01",46
"2021-11-01",42
"2021-12-01",47
"2022-01-01",27
"2022-02-01",24
"2022-03-01",29
"2022-04-01",28
"2022-05-01",24
"2022-06-01",26
"2022-07-01",23
"2022-08-01",17
"2022-09-01",25
"2022-10-01",38
"2022-11-01",44
"2022-12-01",100
"2023-01-01",44
"2023-02-01",38
"2023-03-01",35
"2023-04-01",29
"2023-05-01",25
"2023-06-01",19
"2023-07-01",19
"2023-08-01",19
"2023-09-01",21
"2023-10-01",35
"2023-11-01",43
"2023-12-01",58
"2024-01-01",55
"2024-02-01",47
"2024-03-01",46
"2024-04-01",38
"2024-05-01",31
"2024-06-01",25
"2024-07-01",23
"2024-08-01",15
"2024-09-01",22
"2024-10-01",34
"2024-11-01",43
"2024-12-01",69
"2025-01-01",45
"2025-02-01",40
"2025-03-01",34
"2025-04-01",29
"2025-05-01",20
"2025-06-01",18
"2025-07-01",14
"2025-08-01",15
"2025-09-01",19
"2025-10-01",34
"2025-11-01",38
"2025-12-01",53
"2026-01-01",40
"2026-02-01",29
"2026-03-01",30
"2026-04-01",25
"2026-05-01",22
"2026-06-01",18